https://www.lcsc.com/product-detail/.html

Item,Quantity,Designator,Value,Manufacturer Part,LCSC Part,Link,Price [MOQ],Total Price (2 boards)
MLCC 0805,4,C1 C3 C8 C10,22uF,CL10A226MP8NUNE,C86295,https://www.lcsc.com/product-detail/C86295.html,$ 0.0537 [10],$ 0.06
MLCC 0402,6,C2 C4 C5 C6 C7 C9,100nF,CL05B104KB54PNC,C307331,,$ 0.0096 [100],$ 0.96
USB ESD,1,D1,,USBLC6-2P6,C15999,,$ 0.2787 [5],$ 1.39
DIODE,2,D2 D5,,1N5819HW-7-F,C82544,,$ 0.0568 [10],$ 0.57
HV DIODE,1,D3,,MRA4007T3G,C47921,,$ 0.0942 [10],$ 0.94
ESD DIODE,1,D4,,LESD8D3.3CAT5G,C5563754,,$ 0.0090 [20],$ 0.18
FPC Connector,4,FPC1 FPC2 FPC3 FPC4,,FPC-05F-12PH20,C2856799,,$ 0.1079 [5],$ 1.08
Orange LED,3,LED1 LED2 LED3,,XL-1608UOC-06,C965800,,$ 0.0068 [100],$ 0.68
P Mosfet,2,Q1 Q2,,AO3415A,C133233,,$ 0.1033 [5],$ 0.52
N Mosfet,2,Q3 Q5,,AO3400A,C20917,,$ 0.0849 [5],$ 0.42
HV N Mosfet,1,Q4,,IPN60R1K5CEATMA1,C3288802,,$ 0.5529,$ 1.11
Chip Resistor,2,R1 R2,22,,,,,
Chip Resistor,6,R3 R4 R12 R17 R18 R19,680,,,,,
Chip Resistor,2,R5 R6,5.1k,,,,,
Chip Resistor,8,R7 R8 R11 R15 R16 R20 R21 R22,10K,,,,,
Chip Resistor,2,R9 R10,4.7k,,,,,
Chip Resistor,2,R13 R14,110k,,,,,
Push-button,2,SW1 SW2,,TS-1075S-A1B2-D4,C492872,,$ 0.067[10],$ 0.67
3V3 LDO,1,U1,,TLV75733PDBVR,C485517,,$ 0.2067[5],$ 1.03
ESD DIODE,1,U2,,LESD5D5.0CT1G,C7433850,,$ 0.0148 [50],$ 0.74
HV Driver IC,1,U3,,HV509K6-G,C633266,,$ 4.3112,$ 8.62
MCU,1,U4,ESP32 WROOM,ESP32-C3-WROOM-02-N4,C2934560,,$3.2954,$6.59
Header PIN 2x20,1,U6,,PM254VS-12-40-H85,C5249780,,,
USB-C 16P,1,USB1,,TYPE-C 16PIN,C2765186,,,
,,,,,,,
BOOST converter, 1, U5, 168V OUT,,,https://fr.aliexpress.com/item/1005009055927625.html,$ 10.25, $ 20.50
